Plans;Codes;Name;English name;Year;Credits;Language;Semester;Group;Level;Available undergrad;Final level;Plan;Code;Quota;Learning guide;Observations
10II;105000056;ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS;INFORMATIC SYSTEMS ADMINISTRATION;4;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;4;#REF!;
10CD;105001019;ADQUISICIÓN Y PROCESAMIENTO NUMÉRICO DE DATOS;DATA ACQUISITION AND NUMERICAL PROCESSING;2;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000006;ALGEBRA LINEAL;LINEAR ALGEBRA;1;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000033;ALGORITMICA NUMERICA;NUMERICAL ALGORITHMS;2;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000449;ALGORITMOS DE PROCESADO Y ANÁLISIS DE IMÁGEN. APLICACIÓN A TELEDETECCIÓN ;ALGORITHMS FOR IMAGE PROCESSING AND ANALYSIS. APPLICATION TO REMOTE SENSING ;4;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;3;#REF!;
10CD;105001037;ALGORITMOS Y ARQUITECTURAS PARA PROCESADO DE IMÁGENES;ALGORITHMS AND ARCHITECTURES FOR IMAGE PROCESSING;4;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000020;ALGORITMOS Y ESTRUCTURA DE DATOS;ALGORITHMS AND DATA STRUCTURE (FALL, TAUGHT IN JAVA);2;6;Castellano;1S;4;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10CD;105001008;ALGORITMOS Y ESTRUCTURAS DE DATOS;ALGORITHMS AND DATA STRUCTURES (SPRING, TAUGHT IN PYTHON);1;6;Castellano;2S;4;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000373;AMPLIACIÓN DE MACROECONOMÍA;AMPLIACIÃN DE MACROECONOMÃA;2;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ML;105000122;ANALISIS COMPLEJO;COMPLEX VARIABLE ANALYSIS;3;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000386;ANÁLISIS DE ESTADOS FINANCIEROS;ANALYSIS OF FINANCIAL STATEMENTS;3;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ML;105000142;ANALISIS FUNCIONAL;FUNCTIONAL ANALYSIS;4;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10CD;105001047;ANÁLISIS TOPOLÓGICO DE DATOS FUNCIONALES PARA MODELOS DE APRENDIZAJE AUTOMÁTICO;TOPOLOGICAL ANALYSIS OF FUNCTIONAL DATA FOR MACHINE LEARNING MODELS;4;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000164;APLICACIONES DE LA BIOMETRIA DE LA VOZ;APPLICATIONS OF VOICE BIOMETRICS;4;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;4;#REF!;
10CD;105001068;APLICACIONES DEL PROCESADO DIGITAL DE SEÑALES;APPLICATIONS OF DIGITAL SIGNAL PROCESSING;4;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000041;APLICACIONES NUMERICAS DE LA INFORMATICA;NUMERICAL APPLICATIONS OF INFORMATICS;3;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10AJ;103000360;APRENDIZAJE AUTOMATICO;MACHINE LEARNING;1;5;Castellano;1S;10;Master;;Master;#REF!;#REF!;;#REF!;
10CD;105001027;APRENDIZAJE AUTOMÁTICO I;MACHINE LEARNING I;3;6;Castellano;1S;10;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10CD;105001033;APRENDIZAJE AUTOMÁTICO II;MACHINE LEARNING II;3;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000027;ARQUITECTURA DE COMPUTADORES;COMPUTER ARCHITECTURE;2;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000416;ARQUITECTURA DEL DATA WAREHOUSE;DATA WAREHOUSE ARCHITECTURE;4;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;2;#REF!;
10CD;105001024;ARQUITECTURAS PARA EL PROCESAMIENTO MASIVO DE DATOS;ARCHITECTURES FOR MASSIVE DATA PROCESSING;3;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10CD;105001022;ASPECTOS SOCIALES, ÉTICOS Y LEGALES DE LOS DATOS Y LA INTELIGENCIA ARTIFICIAL;SOCIAL, LEGAL, ETHICS ASPECTS OF DATA AND ARTIFICIAL INTELLIGENCE;2;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000021;BASES DE DATOS;DATABASES;2;6;EF;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10CD;105001030;BASES DE DATOS II;DATABASES II;3;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10AJ;103000361;BUSQUEDA INTELIGENTE BASADA EN METAHEURISTICAS;METAHEURISTIC-BASED INTELLIGENT SEARCH;1;5;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10II;105000005;CÁLCULO;CALCULUS;1;6;Castellano;2S;;Bachelor;1;Bachelor;#REF!;#REF!;;#REF!;
10ML;105000104;CALCULO I;CALCULUS I;1;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ML;105000106;CALCULO II;CALCULUS II;1;6;Castellano;2S;;Bachelor;1;Bachelor;#REF!;#REF!;;#REF!;
10ML;105000112;CALCULO III;CALCULUS III;2;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10AJ;103000720;CIENCIA DE LA WEB;WEB SCIENCE;1;5;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10ID;105000414;COMERCIO EXTERIOR;EXTERNAL TRADE;4;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000088;COMPUTABILIDAD: FUNDAMENTOS Y APLICACIONES;COMPUTABILITY: FUNDAMENTALS AND APPLICATIONS;4;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;3;#REF!;
10AJ;103000362;COMPUTACION EVOLUTIVA;EVOLUTIONARY COMPUTING;1;5;Castellano;1S;;Master;1;Bachelor;#REF!;#REF!;;#REF!;
10AN;103000677;COMPUTACIÓN NUMÉRICA;NUMERICAL COMPUTATION;2;6;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10AK;103000035;COMPUTACION NUMERICA AVANZADA;ADVANCED NUMERICAL COMPUTATION;1;4;Castellano;2S;;Master;1;Bachelor;#REF!;#REF!;;#REF!;
10AK;103000388;COMPUTACION ORIENTADA A SERVICIOS;SERVICE-ORIENTED COMPUTING;1;4;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10AN;103000626;COMPUTACION PARA CIENCIAS E INGENIERIA;COMPUTING FOR SCIENCE AND ENGINEERING;1;6;Castellano;2S;;Master;1;Bachelor;#REF!;#REF!;;#REF!;
10II;105000457;COMPUTACIÓN PARALELA, MULTIPROCESADORES, HPC y GPU;PARALLEL COMPUTING, MULTIPROCESSORS, HPC, AND GPUS;4;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;3;#REF!;
10CD;105001023;COMPUTACIÓN SOCIAL Y PERSONALIZACIÓN;SOCIAL COMPUTING AND PERSONALIZATION;2;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10AN;103000650;COMPUTACION SOCIAL Y SISTEMAS MULTIAGENTE;SOCIAL COMPUTING AND MULTIAGENT SYSTEMS;2;4,5;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10II;105000047;COMPUTADORES PERSONALES;PERSONAL COMPUTERS;3;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;4;#REF!;
10II;105000018;CONCURRENCIA;CONCURRENCY;2;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000405;CONTABILIDAD DE COSTES;COST ACCOUNTING;4;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000375;CONTABILIDAD FINANCIERA Y DE SOCIEDADES;CONTABILIDAD FINANCIERA Y DE SOCIEDADES;2;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000428;CREACIÓN DE EMPRESAS Y PLANES DE NEGOCIO;ENTREPRENEURSHIP AND BUSINESS PLANS;5;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ML;105000144;DATA ANALYTICS;DATA ANALYTICS;4;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10AJ;103000358;DECISIÓN PARTICIPATIVA Y NEGOCIACIÓN;PARTICIPATORY DECISION MAKING AND NEGOTIATION;1;5;Castellano;1S;;Master;1;Bachelor;#REF!;#REF!;;#REF!;
10AJ;103000743;DEEP LEARNING PARA EL PROCESAMIENTO DEL LENGUAJE NATURAL;DEEP LEARNING PARA EL PROCESAMIENTO DEL LENGUAJE NATURAL;1;5;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10ID;105000355;DERECHO DE EMPRESA;DERECHO DE EMPRESA;1;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10AN;103000753;DESARROLLO DE APLICACIONES DISTRIBUIDAS EN TIEMPO REAL;REAL - TIME DISTRIBUTED APPLICATIONS DEVELOPMENT;2;4,5;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10AN;103000642;DESARROLLO DE APLICACIONES MOVILES;MOBILE APPLICATION DEVELOPMENT;2;4,5;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10AN;103000817;DESARROLLO DE SOFTWARE DE SEGURIDAD EN RED;NETWORK SECURITY SOFTWARE DEVELOPMENT;2;6;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10CD;105001038;DESCUBRIMIENTO DE CONOCIMIENTO EN DATOS COMPLEJOS;KNOWLEDGE DISCOVERY IN COMPLEX DATA;4;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10AN;103000648;DIRECCION DE EMPRESAS DE TI;ADMINISTRATION OF IT COMPANIES;2;6;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10ID;105000388;DIRECCIÓN DE PRODUCCIÓN;PRODUCTION MANAGEMENT;3;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10AN;103000627;DIRECCION DE PROYECTOS;PROJECT MANAGEMENT;1;4,5;Castellano;2S;;Master;;Master;#REF!;#REF!;;#REF!;
10ID;105000406;DIRECCIÓN ESTRATÉGICA;STRATEGIC MANAGEMENT;4;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10AN;103000646;DIRECCION FINANCIERA;FINANCIAL MANAGEMENT;2;4,5;Castellano;1S;9;Master;;Master;#REF!;#REF!;;#REF!;
10ID;105000380;DIRECCIÓN FINANCIERA;FINANCIAL MANAGEMENT;3;6;Castellano;1S;9;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000415;DIRECCIÓN Y GESTIÓN DE RECURSOS HUMANOS;MANAGEMENT AND ADMINISTRATION OF HUMAN RESOURCES;4;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000456;DISEÑO CON MICROCONTROLADORES;DESIGN WITH MICROCONTROLLERS;3;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;2;#REF!;
10AN;103000624;DISEÑO Y SEGURIDAD DE REDES;NETWORK DESIGN AND SECURITY;1;6;Castellano;2S;;Master;;Master;#REF!;#REF!;;#REF!;
10ID;105000374;ECONOMETRÍA;ECONOMETRÃA;2;6;Castellano;2S;;Bachelor;1;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000389;ECONOMÍA MUNDIAL, ESPAÑOLA Y REGIONAL;WORLD, SPANISH AND REGIONAL ECONOMY;3;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ML;105000117;ECUACIONES DIFERENCIALES;DIFERENTIAL EQUATIONS;2;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10CD;105001050;ECUACIONES DIFERENCIALES Y MODELIZACIÓN DE FENÓMENOS REALES;DIFFERENTIAL EQUATIONS AND MODELING OF REAL PHENOM;4;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ML;105000161;ECUACIONES EN DERIVADAS PARCIALES Y SIMULACIÓN NUMÉRICA;PARTIAL DIFFERENTIAL EQUATIONS AND NUMERICAL SIMULATIONS;4;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000439;EL ARTE DE PROGRAMAR;THE ART OF PROGRAMMING;3;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;4;#REF!;
10II;105000045;ESPAÑOL PROFESIONAL Y ACADEMICO;ESPAÑOL PROFESIONAL Y ACADEMICO;3;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;5;#REF!;
10II;105000026;ESTRUCTURA DE COMPUTADORES;COMPUTER STRUCTURE;2;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000407;ESTRUCTURA Y MERCADOS INTERNACIONALES;STRUCTURE AND INTERNATIONAL MARKETS;4;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ML;105000116;ESTRUCTURAS ALGEBRAICAS;ALGEBRAIC STRUCTURES;2;6;Castellano;2S;;Bachelor;1;Bachelor;#REF!;#REF!;;#REF!;
10AN;103000623;EVALUACION Y ASEGURAMIENTO DE SISTEMAS DE INFORMACION;ASSESSMENT AND ASSURANCE OF INFORMATION SYSTEMS;1;4,5;Castellano;2S;;Master;;Master;#REF!;#REF!;;#REF!;
10CD;105001049;EXPERIMENTACIÓN EN INGENIERÍA DE SOFTWARE CON APRENDIZAJE PROFUNDO;SOFTWARE ENGINEERING EXPERIMENTATION WITH DEEP LEARNING;4;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000165;FOTOGRAFIA COMPUTACIONAL;COMPUTATIONAL PHOTOGRAPHY;4;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;2;#REF!;
10AN;103000676;FRACTALES. MODELOS Y APLICACIONES;FRACTALS. MODELS AND APPLICATIONS;2;4,5;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10II;105001045;FUNDAMENTOS CLOUD;CLOUD FOUNDATIONS;4;3;EF;1S;;Bachelor;;Bachelor;#REF!;#REF!;4;#REF!;
10CD;105001028;FUNDAMENTOS DE ANÁLISIS DE IMÁGENES;IMAGE ANALYSIS FUNDAMENTALS;3;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000154;FUNDAMENTOS DE ECONOMIA Y ADMINISTRACION DE EMPRESAS;FUNDAMENTALS OF ECONOMICS AND BUSINESS ASMINISTRATION;2;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000155;FUNDAMENTOS DE GESTION DE TECNOLOGIAS DE LA INFORMACION EN LA EMPRESA;FUNDAMENTALS OF INFORMATION TECHNOLOGY MANAGEMENT IN BUSINESS;2;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10CD;105001009;FUNDAMENTOS DE LOS COMPUTADORES;COMPUTER FUNDAMENTALS;1;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105001044;FUNDAMENTOS DE VIDEOJUEGOS;GAME DESIGN FUNDAMENTALS;3;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;3;#REF!;
10II;105000001;FUNDAMENTOS FISICOS Y TECNOLOGICOS DE LA INFORMATICA;PHYSICAL AND TECHNOLOGICAL FOUNDATIONS OF INFORMATICS;1;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000061;GEOMETRÍA 3D PARA INFORMÁTICA GRÁFICA;3D GEOMETRY FOR GRAPHIC INFORMATICS;4;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;2;#REF!;
10ML;105000113;GEOMETRIA AFIN Y PROYECTIVA;AFFINE AND PROJECTIVE GEOMETRY;2;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10AN;103000678;GEOMETRÍA COMPUTACIONAL;COMPUTATIONAL GEOMETRY;2;4,5;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10ML;105000123;GEOMETRIA DIFERENCIAL;DIFFERENTIAL GEOMETRY;3;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10AN;103000645;GESTION DE LA INNOVACION;MANAGEMENT OF INNOVATION IN IT;2;4,5;Castellano;1S;8;Master;;Master;#REF!;#REF!;;#REF!;
10ID;105000408;GESTIÓN DE LA INNOVACIÓN;INNOVATION MANAGEMENT;4;3;Castellano;1S;8;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000010;GESTION DE PROCESOS DE TECNOLOGIAS DE LA INFORMACION;INFORMATION TECHNOLOGIES PROCESS MANAGEMENT;4;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
