Plans;Codes;Name;English name;Year;Credits;Language;Semester;Group;Level;Available undergrad;Final level;Plan;Code;Quota;Learning guide;Observations;;;
10II;105000453;INTELIGENCIA ARTIFICIAL Y CIENCIA ABIERTA EN INGENIERÍA DE SOFTWARE CIENTÍFICO;OPEN SCIENCE AND AI IN RESEARCH SOFTWARE ENGINEERING;4;3;EF;2S;;Bachelor;;Bachelor;#REF!;#REF!;3;#REF!;;;url Base;https://www.upm.es/comun_gauss/publico/guias/
10II;TBD;ARTIFICIAL INTELLIGENCE IN MEDICAL IMAGING: FROM FUNDAMENTALS TO APPLICATIONS;ARTIFICIAL INTELLIGENCE IN MEDICAL IMAGING: FROM FUNDAMENTALS TO APPLICATIONS;4;3;Inglés;1S;;Bachelor;;Bachelor;#REF!;#REF!;4;#REF!;"New course for 26-27.
It will fully taught in a week.";;Year;2025-26
10II;105000046;BUILDING UP COMMUNICATIONS SKILLS;BUILDING UP COMMUNICATIONS SKILLS;3;3;Inglés;1S;;Bachelor;;Bachelor;#REF!;#REF!;6;#REF!;;;;
10II;105000087;TECNOLOGIA DE RED CISCO: CCNA;CISCO NETWORK TECHNOLOGY: CCNA;4;6;EF;1S;;Bachelor;;Bachelor;#REF!;#REF!;3;#REF!;;;;
10II;105001045;FUNDAMENTOS CLOUD;CLOUD FOUNDATIONS;4;3;EF;1S;;Bachelor;;Bachelor;#REF!;#REF!;4;#REF!;;;;
10II;105000021;BASES DE DATOS;DATABASES;2;6;EF;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;;;;
10II;105000017;PROGRAMACION DECLARATIVA: LOGICA Y RESTRICCIONES;DECLARATIVE PROGRAMMING: LOGIC AND CONSTRAINTS;3;3;EF;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;;;;
10II;105001069;DESARROLLO DE RECURSOS SEMÁNTICOS INTEROPERABLES Y ABIERTOS;DEVELOPING OPEN, INTEROPERABLE SEMANTIC RESOURCES;4;3;Inglés;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;;;;
10II;105000011;ENGLISH FOR PROFESSIONAL AND ACADEMIC COMMUNICATION;ENGLISH FOR PROFESSIONAL AND ACADEMIC COMMUNICATION (FALL);4;6;Inglés;1S;1;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;;;;
10II;105000011;ENGLISH FOR PROFESSIONAL AND ACADEMIC COMMUNICATION;ENGLISH FOR PROFESSIONAL AND ACADEMIC COMMUNICATION (SPRING);4;6;Inglés;2S;1;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;;;;
10II;105000159;INTERACCIÓN PERSONA - ORDENADOR;HUMAN-COMPUTER INTERACTION;1;6;Inglés;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;;;;
10II;105000002;LOGICA;LOGIC;1;6;EF;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;;;;
10II;105000444;MULTIMEDIA;MULTIMEDIA;4;3;EF;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;;;;
